Resumo Financeiro
Receitas,3000.00
Despesas,1283.00
Investimentos,0.00
Saldo,1717.00
Percentual Investido (%),0.00

Detalhamento
Despesas
tsste,,25.00
tsste,,25.00
tsste,,25.00
tsste,,25.00
tsste,,25.00
tsste,,25.00
Mercado,10.00
Veiculos,150.00
N/A,200.00
N/A,150.00
Mercado,30.00
null,10.00
Mercado,10.00
null,12.00
Mercado,10.00
N/A,120.00
Mercado,25.00
Mercado,10.00
Mercado,30.00
Mercado,10.00
restaurante,10.00
Mercado,10.00
null,15.00
Mercado,150.00
null,10.00
null,12.00
null,13.00
Mercado,10.00
Mercado,12.00
null,12.00
null,12.00
null,10.00
null,10.00
null,10.00
null,10.00
null,10.00
null,10.00
null,10.00
null,10.00
null,10.00

Receitas
 Aluguel,500.00
 Salário,1500.00
 Aluguel,500.00
 Aluguel,500.00

Investimentos
